mnemonic,number,id
EVSC,4140,11569
ECE,4710,718
LAW,9319,14487
ECE,5241,724
ITTR,2630,8126
RELB,2559,10838
LAW,9320,14488
MAE,6120,8298
ECE,4715,719
ECE,4855,721
LATI,4050,14289
LAW,9322,14489
CHE,495,3411
ECE,5501,726
HIUS,2401,6805
ECE,5261,725
ARAB,302,2980
ARAB,311,2981
ARAB,402,2982
ARAB,494,2983
ARAB,502,2984
ARAB,511,2985
ARAB,584,2986
ARAB,587,2987
MSE,4055,1999
RELB,5250,9344
ISHU,4821,10397
ECE,9999,747
ECE,8999,745
ECE,7457,741
ECE,6501,732
ECE,6993,739
CLAS,3120,539
ECE,8897,744
ECE,9897,746
ECE,7995,743
EDLF,8384,14058
ECE,6505,733
MSE,6140,6946
ECE,6852,738
ECE,6555,734
ECE,6713,736
CHIN,202,3492
CHIN,206,3493
FREN,339,6218
RELC,3681,9349
ECON,3030,754
ECON,2559,751
PLCP,5550,2450
ECON,4170,761
ECON,3040,755
ARH,7010,205
RELC,7559,9350
ECON,4180,762
ECON,4150,759
ARCH,6270,11208
ECON,4160,760
ECON,4360,767
ECON,4400,769
ECON,4190,763
ECON,4310,765
ECON,3330,757
HIME,9026,13335
ECON,4340,766
ECON,4390,768
ECON,4410,770
EVSC,2559,1174
ECON,8150,782
ITTR,3710,6862
ECON,5090,777
ECON,8420,788
ECON,8450,790
ECON,8998,793
ECON,7010,778
ECON,8991,792
ECON,8430,789
ECON,8720,791
ECON,7020,779
ECON,8999,794
ECON,9998,796
EVSC,4870,11570
LATI,7500,9922
ECON,7710,780
LAW,9325,14490
ISSS,3454,10080
LAW,9327,14491
ISLS,3212,9226
MUSI,2370,10788
ECON,8170,783
ECON,8210,784
ECON,8320,785
ECON,8350,786
ECON,8410,787
ARAB,702,2988
EDHS,3240,801
ARTH,2151,11209
ENGL,2592,13780
CHEM,242,3434
ARTH,1500,10622
EDHS,3450,803
EDHS,3630,806
EDHS,5993,819
EDHS,4993,811
ISSS,3080,10399
ISLS,4280,10398
EDHS,5010,813
RELC,2559,9345
EDHS,4995,812
EDLF,8660,14636
MUSI,4620,13152
COMM,1100,12818
ISSS,3602,10081
EDHS,5985,818
ARH,8540,14024
MAE,7680,8306
EDHS,3660,807
EDHS,3600,805
EDHS,3770,808
EDHS,4410,809
EDHS,5450,815
EDHS,5460,816
EDLF,8662,1005
EVEC,7559,1162
RELC,3056,10839
EDHS,7230,825
RELI,3900,9355
RELH,3740,9353
EDHS,7270,826
RELI,2559,9354
EDHS,7640,833
EDHS,7680,834
EDHS,8020,836
EDHS,8090,837
ISSS,3281,10401
ISSS,3830,10083
LATI,5310,14290
EDHS,7420,829
EDHS,7431,830
EDHS,7433,831
EDHS,7600,832
RUTR,2740,9358
EDHS,8700,849
HIUS,3141,6806
EDHS,8980,851
EDHS,8691,848
EDHS,8999,853
EDHS,8430,843
HBIO,482,4477
PHYS,5820,8573
DRAM,7480,12082
PLIR,8999,2480
EDHS,8998,852
GBUS,7342,7887
RUSS,5360,9357
RUTR,2350,7122
ISSS,4005,10084
ENCW,3310,11264
ISSS,3414,10402
GBUS,7346,7888
EDHS,9090,854
PHYE,1155,8551
EDHS,8740,850
ENGL,2504,13773
PLPT,3200,2486
ENCW,8999,11836
PHYS,8420,9771
EDHS,9320,856
SANS,2016,9359
EDIS,3882,871
RELC,3695,10840
GCOM,7360,10980
EDHS,9750,859
ISSS,4041,10085
EDHS,9762,860
PLPT,4130,8660
LAW,9330,14493
EDIS,3000,869
EDIS,2011,866
HIUS,3231,6807
HIUS,3281,6808
WGS,1510,13224
ARAB,802,2989
ARAB,902,2990
ARAD,340,2991
ARAD,492,2992
ARAD,520,2993
ARAH,513,2994
ARAH,571,2995
ARAH,592,2996
HIUS,3455,6809
SANS,5016,9360
LAW,9180,11042
ITAL,4350,10086
PORT,4559,11986
EDIS,5050,882
SANS,7051,9361
EAST,4993,705
SARC,5500,9362
EDIS,5055,883
LING,3090,14495
CHE,216,3404
EDIS,5131,889
SAST,2060,9363
NASC,3630,13154
EAST,3559,12083
ISSS,4064,10404
EDIS,5021,879
LAW,9181,11043
SAST,2559,9364
EDIS,5120,888
PLAC,5500,8596
PLAC,5440,9773
ARAH,713,2997
ARAH,714,2998
ARAH,721,2999
ARAH,722,3000
EDIS,5010,877
PLAC,5880,9774
MSE,6230,2004
ITTR,3559,10087
RELC,5795,10841
PPL,4005,11987
ENGL,2506,13774
RELC,5980,10842
EAST,5559,12084
ENMD,3250,1087
EDIS,5500,902
EDIS,5650,904
HIUS,3471,6810
EDIS,5420,897
LAW,9331,14494
EDIS,5421,898
RELG,3380,12256
AAS,2657,13225
EDIS,5450,900
CS,686,3600
CS,695,3602
CS,793,3603
CS,895,3606
CS,796,3604
CS,851,3605
CS,693,3601
EDIS,5430,899
ISSS,4821,10405
RELG,3315,10843
EDIS,5710,906
EDIS,5876,913
FREN,4110,11572
SOC,2380,9367
ENSP,5910,1116
CHEM,5560,14030
SOC,1595,9366
CHEM,1610,470
LING,3102,14292
ITTR,5250,10088
RELG,5395,14190
EDIS,5880,917
ITAL,7600,8123
ARAH,732,3001
EDIS,5887,924
PPOL,4725,11988
ITTR,3250,8127
LAW,9184,11044
RELG,3950,10844
SOC,3371,9368
EDIS,5889,926
MSE,6270,2005
EDIS,5888,925
AAS,3300,13226
EDIS,7080,928
LING,5101,10755
PLAD,8500,9776
EDIS,8500,939
EDLF,8985,1010
EDLF,8987,1012
FREN,4509,10965
RELG,8727,14191
EDIS,7450,929
HIUS,3752,6811
EDLF,8986,1011
ENGN,342,4034
ENGN,351,4035
ENGL,999,4033
EDIS,7851,934
JAPN,4870,10406
CHEM,7020,7529
EDIS,8985,944
EDIS,8982,942
EDIS,8984,943
EDLF,3160,953
JAPN,1010,1621
EDIS,8821,940
EDIS,8999,946
EDIS,9995,949
EDLF,4993,956
EDLF,4160,955
