Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2022 Spring,EDHS,8670,Assessment of Children,009300,"Mazurek,Micah",001,14815,EDUC,3.66,5,1,3,0,0,0,0,1,0,0,0
2021 Fall,LAW,8669,Holistic Juvenile Defen Clinic,046000,"Shin,Crystal Sue",1,20110,LAW,3.566666667,6,0,0,4,2,0,0,0,0,0,0
2021 Fall,LAW,8667,Fed Crim Sent Reduc Clinic,045976,"Lantz,Andrea S",1,19301,LAW,3.666666667,6,0,2,2,2,0,0,0,0,0,0
2022 Spring,LAW,8667,Fed Crim Sent Reduc Clinic,045976,"Lantz,Andrea S",1,17605,LAW,3.4,5,0,0,2,2,1,0,0,0,0,0
2022 Spring,LAW,8666,State-Local Gov Clin (YR-Spr),045973,"Block Jr.,Andrew K.",1,17560,LAW,3.54,10,0,2,4,2,2,0,0,0,0,0
2022 Spring,LAW,8664,Civil Rights Clinic (YR),045633,"Greenspan,Geri M.",1,17521,LAW,3.4875,8,0,1,2,5,0,0,0,0,0,0
2022 Spring,LAW,8664,Civil Rights Clinic (YR),045633,"Osteen,Maisie",1,17521,LAW,3.4875,8,0,1,2,5,0,0,0,0,0,0
2022 Spring,LAW,8664,Civil Rights Clinic (YR),045633,"Poggenklass,Robert",1,17521,LAW,3.4875,8,0,1,2,5,0,0,0,0,0,0
2022 Spring,EDLF,8662,Politics and Education,009800,"Pusser,Brian",1,19805,EDUC,3.836363636,11,0,5,6,0,0,0,0,0,0,0
2022 Spring,GNUR,8660,Evidence-Based Practice,039371,"Yost,Terri Lynn",001,17166,NURS,3.744444444,18,2,2,13,1,0,0,0,0,0,0
2021 Fall,LAW,8659,Drug Prod Liablty Litigtn: P&P,040061,"Grossi Jr.,Peter T",1,19238,LAW,3.466666667,12,0,0,5,7,0,0,0,0,0,0
2022 Spring,LAW,8657,Decarcertion & Reentry Clinic,022277,"Orians,Kelly",1,18643,LAW,3.571428571,7,0,1,3,3,0,0,0,0,0,0
2022 Spring,LAW,8655,Estate Planning: Princ & Prac,022045,"Cahn,Naomi Renee",1,17453,LAW,3.506666667,15,0,1,6,8,0,0,0,0,0,0
2022 Spring,LAW,8655,Estate Planning: Princ & Prac,022045,"Murphy,Stephen Wills",1,17453,LAW,3.506666667,15,0,1,6,8,0,0,0,0,0,0
2021 Fall,EDLF,8654,Organiz & Governance Higher Ed,009792,"Leffers,Robert Alan",1,18683,EDUC,3.714285714,7,0,3,2,2,0,0,0,0,0,0
2022 Spring,LAW,8652,Emerging Markets: Prin & Pract,021986,"Dean,Richard N",1,17718,LAW,3.4,6,0,0,3,1,2,0,0,0,0,0
2022 Spring,LAW,8652,Emerging Markets: Prin & Pract,021986,"Stephan,Paul B",1,17718,LAW,3.4,6,0,0,3,1,2,0,0,0,0,0
2021 Fall,LAW,8651,Emerg Growth/Venture Captl:P&P,022181,"Lincoln,Michael Robert",1,19119,LAW,3.538636364,44,0,3,21,20,0,0,0,0,0,0
2022 Spring,EDLF,8651,History of Higher Education,009788,"Rodrguez,Alexa",1,18890,EDUC,3.666666667,6,0,2,2,2,0,0,0,0,0,0
2021 Fall,GNUR,8650,Info Sys & Patient Care Tech,017041,"Cieslowski,Bethany Jeanne",001,17151,NURS,3.866666667,12,1,7,3,1,0,0,0,0,0,0
2021 Fall,EDLF,8640,Inequality in Higher Education,043141,"Brown,Joshua Travis",1,15331,EDUC,3.918181818,11,3,5,3,0,0,0,0,0,0,0
2021 Fall,LAW,8640,Enviro and Comm Eng Clinic,042757,"Jaffe,Caleb Adam",1,19154,LAW,3.555555556,9,0,1,4,4,0,0,0,0,0,0
2022 Spring,GNUR,8640,Nurs Ethics for Adv Practice,017058,"Epstein,Elizabeth Gingell",001,17076,NURS,3.972727273,11,2,8,1,0,0,0,0,0,0,0
2022 Spring,PHYS,8640,Modern Field Theory,030959,"Vaman,Diana",001,12067,CGAS,3.777777778,9,1,4,2,2,0,0,0,0,0,0
