ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
18737,ANTH,2280,109,Discussion,"0","Jeffrey Attridge","We 2:00pm - 2:50pm","The Rotunda Room 150","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
19957,ANTH,2280,110,Discussion,"0","Nazli Azergun","Mo 12:00pm - 12:50pm","New Cabell Hall 395","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,19,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
19958,ANTH,2280,111,Discussion,"0","Richard Karl Deang","We 2:00pm - 2:50pm","New Cabell Hall 415","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
19959,ANTH,2280,112,Discussion,"0","Richard Karl Deang","We 7:30pm - 8:20pm","New Cabell Hall 291","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
20785,ANTH,2280,113,Discussion,"0","Nazli Azergun","Th 4:00pm - 4:50pm","Gibson Hall 142","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
20786,ANTH,2280,114,Discussion,"0","Nazli Azergun","Th 5:00pm - 5:50pm","Gibson Hall 142","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,21,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
20787,ANTH,2280,115,Discussion,"0","Madeleine Jean","Th 7:00pm - 7:50pm","New Cabell Hall 191","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
13366,ANTH,2285,100,Lecture,"3","Sylvia Tidey","MoWe 3:00pm - 3:50pm","Monroe Hall 124","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Anthropology of Development and Humanitarianism","",Closed,60,60,0,"This course explores anthropological writings on development and humanitarianism to better understand the historical context and contemporary practice of these distinct modes of world saving. We will attend to critiques of development and humanitarianism, and will also consider writings by anthropologists who champion the humanitarian project"
19678,ANTH,2285,101,Discussion,"0","Shane Weitzman","We 7:00pm - 7:50pm","Cocke Hall 101","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Anthropology of Development and Humanitarianism","",Closed,20,20,0,"This course explores anthropological writings on development and humanitarianism to better understand the historical context and contemporary practice of these distinct modes of world saving. We will attend to critiques of development and humanitarianism, and will also consider writings by anthropologists who champion the humanitarian project"
19679,ANTH,2285,102,Discussion,"0","Shane Weitzman","Fr 9:00am - 9:50am","New Cabell Hall 395","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Anthropology of Development and Humanitarianism","",Closed,20,20,0,"This course explores anthropological writings on development and humanitarianism to better understand the historical context and contemporary practice of these distinct modes of world saving. We will attend to critiques of development and humanitarianism, and will also consider writings by anthropologists who champion the humanitarian project"
