Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2024 Spring,ECE,3502,Special Topics ECE,040914,"Zhang,Miaomiao",001,20559,Engineering & Applied Science,3.67,18,6,7,2,0,1,0,0,1,1,0
2024 Spring,CS,3501,Spec Topics Computer Science,045086,"Zhang,Miaomiao",001,20560,Engineering & Applied Science,3.78,65,31,17,6,5,3,0,0,3,0,0
2024 Spring,EDIS,4230,Reading & Writing Special Ed,046125,"Demchak,Alisha",002,20052,School of Education and HumanDev,3.91,10,0,7,3,0,0,0,0,0,0,0
2024 Spring,PLPT,3500,Special Topics in PT,040944,"Bird,Colin",002,20382,College & Graduate Arts & Sci,3.33,27,0,7,6,6,5,1,1,0,0,1
2024 Spring,ARCH,8480,Professional Practices,001732,"Bachman,JT",001,14304,School of Architecture,3.83,50,1,30,13,4,2,0,0,0,0,0
2024 Spring,PHS,7310,Clinical Trials Methodology,030380,"Horton,Bethany",001,18532,Medical School - BIMS/PHS,3.88,13,0,10,2,0,1,0,0,0,0,0
2024 Spring,MATH,1140,Financial Mathematics,022937,"Baker,Charles Edmond",004,20636,College & Graduate Arts & Sci,2.96,36,3,5,10,3,2,3,1,3,3,3
2024 Spring,EVSC,4080,Quantitative Methods,044994,"Wiberg,Patricia",001,19638,College & Graduate Arts & Sci,3.82,20,0,14,2,3,1,0,0,0,0,0
2024 Spring,CHEM,5320,Adv Inorganic Chemistry II,005781,"Pu,Lin",001,18802,College & Graduate Arts & Sci,3.57,6,0,2,2,1,0,1,0,0,0,0
2024 Spring,CHEM,2420,Organic Chemistry II,005699,"Wellbeloved,Elizabeth A.",501,19117,College & Graduate Arts & Sci,3.48,16,0,9,2,2,1,1,0,0,0,1
2024 Spring,GCOM,7750,Asset Management,015430,"Dennis,Patrick",001,20102,McIntire School of Commerce,3.74,33,0,17,9,4,3,0,0,0,0,0
2024 Spring,PSED,1070,Financial Capability,046785,"Fairchild,Tierney",F550,21301,Continuing & Prof Studies,3.60,14,3,3,3,2,2,1,0,0,0,0
2024 Spring,LAW,9142,Criminal Law Colloquium,041103,"Frampton,Thomas",1,18638,School of Law,3.56,17,0,4,4,9,0,0,0,0,0,0
2024 Spring,LPPP,3559,New Course in PP & Lead,044183,"Moore,Sherri",001,20396,Batten Leadership & Public Pol,3.71,125,0,48,55,15,4,1,1,0,0,1
2024 Spring,HIEU,2121,France Age of Rev 1789-1870,046263,"Sessions,Jennifer",001,19405,College & Graduate Arts & Sci,3.18,24,0,2,13,2,3,1,0,0,0,3
2024 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa",018,10617,College & Graduate Arts & Sci,3.63,23,10,3,6,1,0,1,0,0,2,0
2024 Spring,LPPS,7085,Modern Techniques in Finance,045114,"Myung,Noah",001,16988,Batten Leadership & Public Pol,3.50,21,1,6,5,3,3,3,0,0,0,0
2024 Spring,LAW,7030,Family Law,021650,"Strauss,Gregg",1,18644,School of Law,3.41,25,0,2,7,11,5,0,0,0,0,0
2024 Spring,LAW,6105,Federal Courts,021652,"Bayefsky,Rachel",2,18645,School of Law,3.69,68,0,14,42,12,0,0,0,0,0,0
2024 Spring,ASTR,1290,Black Holes,044559,"Pryal,Matthew",001,18808,College & Graduate Arts & Sci,3.62,133,6,60,30,15,7,9,2,3,0,1
2024 Spring,ECON,4444,AI and the Future of Work,045764,"Korinek,Anton",100,18842,College & Graduate Arts & Sci,3.33,52,4,12,5,9,12,6,3,1,0,0
2024 Spring,HHE,5700,Bioethics Internship Seminar,044045,"Shepherd,Lois L.",001,18461,Medical School - BIMS/PHS,3.67,9,2,4,1,0,1,0,1,0,0,0
2024 Spring,MAE,2310,Strength of Materials,022575,"Wellbeloved,Elizabeth A.",501,19071,Engineering & Applied Science,3.78,21,0,14,2,3,2,0,0,0,0,0
2024 Spring,SPAN,4705,Spanish Mass Media,039961,"Wellbeloved,Elizabeth A.",501,19106,College & Graduate Arts & Sci,3.91,13,1,8,4,0,0,0,0,0,0,0
2024 Spring,EGMT,1510,Engaging Aesthetics,044512,"Carter,Eli",120,19263,College & Graduate Arts & Sci,3.95,35,6,23,6,0,0,0,0,0,0,0
2024 Spring,PSPS,6030,Dev & Imp Systems of Emer Prep,046292,"Bradshaw,Thomas Anthony",501,19993,Continuing & Prof Studies,3.98,39,0,36,3,0,0,0,0,0,0,0
2024 Spring,CHEM,2321,Org Lab II Non-Chem Maj/Min,043155,"Chruma,Jason J",018,21044,College & Graduate Arts & Sci,3.76,25,1,16,7,0,0,0,0,0,0,1
2024 Spring,SPAN,4530,Spec Topics Seminar: Language,035970,"Mendoza,Omar Velazquez",001,18917,College & Graduate Arts & Sci,3.90,22,2,18,1,0,0,0,0,1,0,0
2024 Spring,CE,6500,Special Topics in CE,004607,"Klotz,Leidy",002,16554,Engineering & Applied Science,4.00,6,3,3,0,0,0,0,0,0,0,0
2024 Spring,EGMT,1510,Engaging Aesthetics,044512,"Dakouri-Hild,Anastasia",115,19258,College & Graduate Arts & Sci,3.97,35,0,32,3,0,0,0,0,0,0,0
2024 Spring,ECE,4457,Computer Networks,007697,"Kim,Hyojoon",001,15848,Engineering & Applied Science,3.21,28,1,7,4,3,7,0,3,1,2,0
2024 Spring,CS,3130,Computer Systems and Org 2,046230,"Reiss,Charles",001,16643,Engineering & Applied Science,3.26,389,11,107,83,53,49,31,7,17,9,22
2024 Spring,ISSS,3760,Issues in Leadership,020476,"Gustafson,Bryon Gordon",DC02,21169,Continuing & Prof Studies,3.53,23,0,7,8,2,3,3,0,0,0,0
2024 Spring,MUSI,2559,New Course: MUSI,040725,"Beasley,Pamela",004,20635,College & Graduate Arts & Sci,3.55,11,1,3,3,2,1,0,1,0,0,0
2024 Spring,LPPP,6559,New Course: PPOL,047203,"Campanelli,Richard",001,20633,Batten Leadership & Public Pol,3.59,13,3,2,3,3,1,1,0,0,0,0
2024 Spring,LAW,9266,Government Secrecy,044221,"Deeks,Ashley",1,18650,School of Law,3.55,12,0,4,2,4,2,0,0,0,0,0
2024 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa",022,10621,College & Graduate Arts & Sci,3.62,23,12,1,4,1,0,4,1,0,0,0
2024 Spring,LPPL,2100,The Resilient Student,045390,"Davis,Timothy",100,16944,Batten Leadership & Public Pol,3.43,108,0,19,58,16,6,2,1,0,0,6
2024 Spring,NUIP,2311,Intro to Professional Practice,045254,"Moore,Lee",003,17238,School of Nursing,3.65,24,0,8,9,4,3,0,0,0,0,0
2024 Spring,LPPL,2600,Foundations Behavioral Science,044753,"Scholer,Abigail",002,20280,Batten Leadership & Public Pol,2.97,38,0,5,4,6,11,4,3,2,1,2
2024 Spring,HHE,5701,Bioethics Intern - Clin Ethics,045665,"Marshall,Mary Faith",001,18460,Medical School - BIMS/PHS,3.98,15,7,7,1,0,0,0,0,0,0,0
2024 Spring,APMA,3110,Applied Stats & Probability,001153,"Wellbeloved,Elizabeth A.",501,19066,Engineering & Applied Science,3.92,22,0,16,6,0,0,0,0,0,0,0
2024 Spring,SYS,6018,Data Mining,036956,"Porter,Michael",600,16513,Engineering & Applied Science,3.70,9,0,5,1,2,1,0,0,0,0,0
2024 Spring,SOC,8410,Race & Ethnicity,035640,"Vickerman,Milton",001,20598,College & Graduate Arts & Sci,3.87,7,0,4,3,0,0,0,0,0,0,0
2024 Spring,MATH,7310,Real Analysis,023220,"Humphries,Peter Christopher Leslie",001,11190,College & Graduate Arts & Sci,3.68,13,3,4,3,0,2,1,0,0,0,0
2024 Spring,COMM,5559,New Course in Commerce,045299,"Maillet,Peter",003,20262,McIntire School of Commerce,3.88,13,0,9,3,1,0,0,0,0,0,0
2024 Spring,LAW,6102,Administrative Law,021597,"Woolhandler,Nettie",2,17987,School of Law,3.64,36,0,14,6,16,0,0,0,0,0,0
2024 Spring,LAW,9070,Voice and Silence Law/Lit Sem,022209,"Coughlin,Anne",1,18671,School of Law,3.50,16,0,0,8,8,0,0,0,0,0,0
2024 Spring,NUIP,2250,Principles of Nutrition,029444,"Bayliss,Angie Hasemann",001,17097,School of Nursing,3.87,34,0,25,7,1,0,0,1,0,0,0
2024 Spring,PHIL,2500,Survey on a PhilosophicalTopic,043637,"Fox,Corin",001,13613,College & Graduate Arts & Sci,3.48,28,0,11,7,4,3,2,0,0,0,1
2024 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa",021,10620,College & Graduate Arts & Sci,3.81,22,9,4,8,0,0,0,1,0,0,0
2024 Spring,ECON,4175,Risk Management,047171,"Peterson,Steven",001,20314,College & Graduate Arts & Sci,3.75,25,2,17,3,2,0,0,0,0,0,1
2024 Spring,STAT,6021,Linear Models for Data Science,043281,"Woo,Jeffrey",001,20630,College & Graduate Arts & Sci,3.70,38,1,18,9,5,4,1,0,0,0,0
2024 Spring,LPPP,5559,New Crse: Pub Policy&Leadershp,044864,"Gui,Peng",003,20407,Batten Leadership & Public Pol,3.67,6,0,2,2,2,0,0,0,0,0,0
2024 Spring,EDIS,5235,Dyslexia,044551,"Bowling,Emily Catherine Cox",501,15345,School of Education and HumanDev,3.78,16,0,8,6,1,1,0,0,0,0,0
2024 Spring,PHYS,1429,Intro Physics 1 Workshop,031036,"Bychkov,Maksim",009,10295,College & Graduate Arts & Sci,3.82,26,0,20,2,1,2,1,0,0,0,0
2024 Spring,ENGL,4560,Seminar Modern & Contemp Lit,012608,"Olwell,Victoria",002,19808,College & Graduate Arts & Sci,3.73,17,0,9,4,3,0,1,0,0,0,0
2024 Spring,STS,3570,Topics in Engineering,047206,"Whitfield,Milton",001,20618,Engineering & Applied Science,3.06,12,0,4,2,1,0,0,0,5,0,0
2024 Spring,MDST,4701,Media and Everyday Life,043083,"Cavalcante,Andre",001,19122,College & Graduate Arts & Sci,3.91,21,0,15,6,0,0,0,0,0,0,0
2024 Spring,EGMT,1510,Engaging Aesthetics,044512,"Milani,Farzaneh",113,19256,College & Graduate Arts & Sci,3.60,33,0,1,23,9,0,0,0,0,0,0
2024 Spring,LAW,7021,Courts,021807,"Law,David",1,18637,School of Law,3.61,14,0,2,8,3,1,0,0,0,0,0
2024 Spring,LAW,7038,Disability Law,021664,"Forde-Mazrui,Kim",1,18639,School of Law,3.49,19,0,3,7,5,4,0,0,0,0,0
2024 Spring,MAE,2310,Strength of Materials,022575,"Kerrigan,Jason",001,15399,Engineering & Applied Science,3.86,115,52,38,12,8,3,0,1,0,0,1
2024 Spring,SPAN,2020,Advanced Intermediate Spanish,035854,"Arevalo,Gabriela Dongo",023,13211,College & Graduate Arts & Sci,3.45,13,0,0,8,3,1,0,1,0,0,0
